Signatur,Incipit,Titel,KomponistIn,Herkunftsort KomponistIn,TexterIn,Herkunftsort TexterIn,InterpretIn,Herkunftsort InterpretIn,Dauer [min:sec],Liedarchiv-Nummer,Alte Signatur Tonband,Seite,Liednr.,Alte Signatur Track,1. Aufnahmeort,2. Herkunftort Komposition,Aufnahmedatum: Anzeige,Kompositionsdatum: Anzeige,Instrumente,Personen/Institutionen,Schlagworte,Kommentar,Objektart,Originalträger,Ist ein Teil von,Sammlung,Copyright,Ähnliche Lieder/Stücke,Erfassungsdatum
SVA_01M_001_a1,,,,,,,Daniel Perret;Roland Ambühl,Schweiz;Zürich;Thalwil;Hinwil,1:50,,L72/1,A,1,L72/1-A1,Schweiz;Aargau;Lenzburg;Rittersaal,UK;Schottland,02.07.1972,,Dudelsack;Trommel,Daniel Perret;Roland Ambühl;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a2,"Flop eared mule, flop eared mule, floppy floppy",Flop Eared Mule,,,,,The String Band,USA;Minnesota;Minneapolis,3:00,29633,L72/1,A,2,L72/1-A2,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Gitarre;Geige;Zuberbass,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a3,"Dooley was a good old man, he lived below the mill",Dooley,,,,,The String Band,USA;Minnesota;Minneapolis,2:10,29634,L72/1,A,3,L72/1-A3,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Chor;Geige;Banjo;Gitarre,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a4,"I let you be, you salty dog",Salty Dog Blues,Charlie Jackso,USA,Charlie Jackson,USA,The String Band,USA;Minnesota;Minneapolis,2:40,29635,L72/1,A,4,L72/1-A4,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1924,Gesang;Gitarre;Banjo;Löffel,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a5,I ain't got no job an' I don't want any,I Wanna Be Your Man,,,,,The String Band,USA;Minnesota;Minneapolis,3:50,29636,L72/1,A,5,L72/1-A5,Schweiz;Aargau;Lenzburg;Rittersaal,USA;Minnesota;Minneapolis,02.07.1972,,Gesang;Geige;Gitarre;Zuberbass;Kazoo,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a6,"Oh, Mama's out yonder switchin' in the kitchen",Euphoria,The Holy Modal Rounders,USA,,,The String Band,USA;Minnesota;Minneapolis,2:35,29637,L72/1,A,6,L72/1-A6,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Geige;Gitarre;Zuberbass,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a7,"Well, they call it the mountain dew",Good Old Mountain Dew,Bascom Lamar Lunsford;Scotty Wiseman,,Scotty Wiseman,,The String Band,USA;Minnesota;Minneapolis,4:40,29638,L72/1,A,7,L72/1-A7,Schweiz;Aargau;Lenzburg;Rittersaal,,02.07.1972,1928,Sprecher;Gesang;Banjo;Gitarre;Zuberbass,The String Band;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a8,,The Scholar,,,,,Troubadix,Schweiz;St. Gallen,1:35,,L72/1,A,8,L72/1-A8,Schweiz;Aargau;Lenzburg;Rittersaal,Irland,02.07.1972,,Fidel;Banjo;Gitarre,Troubadix;Samuel Forrer;Urs Klauser;Peter Maurer;Folkfestival auf der Lenzburg,,,Stück (nur Musik),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a9,"Many-a night, while you lay sleeping ",Pal Of Mine, Alvin Pleasant Carter,USA,Alvin Plaesant Carter,USA,Troubadix,Schweiz;St. Gallen,2:35,29639,L72/1,A,9,L72/1-A9,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,1928,Gesang;Fidel;Banjo;Gitarre,Troubadix;Samuel Forrer;Urs Klauser;Peter Maurer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
SVA_01M_001_a10,"Oh, Mary was a maiden, when the bird began to sing",The River In The Pines (Mary Was A Maiden),,,,,Troubadix,Schweiz;St. Gallen,2:45,29640,L72/1,A,10,L72/1-A10,Schweiz;Aargau;Lenzburg;Rittersaal,USA,02.07.1972,,Gesang;Mandoline;Bassblockflöte,Troubadix;Samuel Forrer;Urs Klauser;Peter Maurer;Folkfestival auf der Lenzburg,,,Lied (Musik+Text),Magnettonband,SVA_01M_001,SVA_01,SGV,,27.05.2020
